group,horizon_days,n,events_by_horizon,naive_event_fraction
Missing,365,29,6,0.20689655172413793
Missing,730,29,10,0.3448275862068966
Missing,1095,29,12,0.41379310344827586
Stage I,365,7,1,0.14285714285714285
Stage I,730,7,2,0.2857142857142857
Stage I,1095,7,2,0.2857142857142857
Stage II,365,16,7,0.4375
Stage II,730,16,9,0.5625
Stage II,1095,16,11,0.6875
Stage III,365,26,7,0.2692307692307692
Stage III,730,26,10,0.38461538461538464
Stage III,1095,26,12,0.46153846153846156
Stage IVA,365,82,23,0.2804878048780488
Stage IVA,730,82,42,0.5121951219512195
Stage IVA,1095,82,50,0.6097560975609756
Stage IVB,365,7,3,0.42857142857142855
Stage IVB,730,7,6,0.8571428571428571
Stage IVB,1095,7,6,0.8571428571428571
